Date,Exercise,Type,Exercise Kilojoules,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps
2018-01-01,"Walking, 2.5 mph, leisurely pace",Cardio,389.1,20,,,,
2018-01-02,"Walking, 2.5 mph, leisurely pace",Cardio,861.9,45,,,,
2018-01-02,"Walking, 2.5 mph, leisurely pace",Cardio,861.9,45,,,,
2018-01-03,"Walking, 2.5 mph, leisurely pace",Cardio,861.9,45,,,,
2018-01-04,"Walking, 2.5 mph, leisurely pace",Cardio,582.0,30,,,,
2018-01-05,"Walking, 2.5 mph, leisurely pace",Cardio,582.0,30,,,,
2018-01-09,"Moving household items, carrying boxes",Cardio,2640.0,60,,,,
2018-01-10,"Walking, 2.5 mph, leisurely pace",Cardio,582.0,30,,,,
2018-01-11,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1674.0,30,,,,
2018-01-12,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1121.0,20,,,,
2018-01-14,"Mowing lawn, general",Cardio,1381.0,40,,,,
2018-01-15,"Walking, 2.5 mph, leisurely pace",Cardio,582.0,30,,,,
2018-01-16,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1674.0,30,,,,
2018-01-17,"Walking, 2.5 mph, leisurely pace",Cardio,368.0,20,,,,
2018-01-18,"Walking, 2.5 mph, leisurely pace",Cardio,368.0,20,,,,
2018-01-22,"Walking, 2.5 mph, leisurely pace",Cardio,561.0,30,,,,
2018-01-24,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1674.0,30,,,,
2018-01-25,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1674.0,30,,,,
2018-01-26,"Walking, 2.5 mph, leisurely pace",Cardio,561.0,30,,,,
2018-01-27,"Walking, 2.5 mph, leisurely pace",Cardio,180.0,10,,,,
2018-01-27,"Walking, 2.5 mph, leisurely pace",Cardio,561.0,30,,,,
2018-01-27,"Walking, 2.5 mph, leisurely pace",Cardio,561.0,30,,,,
2018-01-28,"Walking, 2.5 mph, leisurely pace",Cardio,544.0,30,,,,
2018-01-29,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1674.0,30,,,,
2018-01-30,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1351.0,25,,,,
2018-02-01,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1619.0,30,,,,
2018-02-02,"Walking, 2.5 mph, leisurely pace",Cardio,544.0,30,,,,
2018-02-03,"Walking, 2.5 mph, leisurely pace",Cardio,544.0,30,,,,
2018-02-04,"Walking, 2.5 mph, leisurely pace",Cardio,544.0,30,,,,
2018-02-05,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1619.0,30,,,,
2018-02-05,"Walking, 2.5 mph, leisurely pace",Cardio,360.0,20,,,,
2018-02-07,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1619.0,30,,,,
2018-02-12,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,1335.0,25,,,,
