Date,Weight
2017-12-31,93.2
2018-01-02,91.6
2018-01-03,91.6
2018-01-04,92.7
2018-01-05,91.1
2018-01-06,91.3
2018-01-07,92.1
2018-01-08,91.7
2018-01-09,90.2
2018-01-10,90.2
2018-01-11,89.0
2018-01-12,89.4
2018-01-13,89.1
2018-01-14,90.2
2018-01-15,89.9
2018-01-16,89.0
2018-01-17,88.3
2018-01-18,88.1
2018-01-19,87.9
2018-01-20,88.5
2018-01-21,89.4
2018-01-22,89.4
2018-01-23,88.5
2018-01-24,88.3
2018-01-25,87.1
2018-01-26,86.1
2018-01-27,87.0
2018-01-28,87.2
2018-01-29,86.7
2018-01-30,86.3
2018-01-31,86.7
2018-02-01,86.1
2018-02-02,84.8
2018-02-03,84.5
2018-02-04,86.2
2018-02-05,86.0
2018-02-06,85.2
2018-02-07,85.3
2018-02-08,84.7
2018-02-09,84.8
2018-02-10,84.6
2018-02-11,85.9
2018-02-12,85.2
2018-02-13,84.6
2018-02-14,83.7
2018-02-15,86.0
2018-02-16,83.9
2018-02-19,85.5
2018-02-20,84.2
2018-02-21,84.3
2018-02-22,82.8
2018-02-23,82.9
2018-02-24,83.1
2018-02-25,84.5
2018-02-26,83.9
2018-02-27,82.4
2018-02-28,83.3
2018-03-01,82.1
2018-03-02,82.0
2018-03-05,83.6
2018-03-06,83.8
2018-03-07,82.3
2018-03-08,82.8
2018-03-09,81.7
2018-03-10,80.8
2018-03-11,81.5
2018-03-12,81.7
2018-03-13,82.5
2018-03-14,82.0
2018-03-15,81.0
2018-03-16,80.9
2018-03-17,80.2
2018-03-18,81.7
2018-03-19,81.0
2018-03-20,80.3
2018-03-21,80.2
2018-03-22,79.9
2018-03-23,80.2
2018-03-24,80.4
2018-03-25,80.6
2018-03-26,81.0
2018-03-28,78.7
2018-03-29,78.3
2018-03-30,78.1
2018-04-02,81.2
2018-04-03,79.6
2018-04-04,79.4
2018-04-05,78.5
2018-04-06,77.9
2018-04-07,77.8
2018-04-08,78.7
2018-04-09,79.4
2018-04-10,79.2
2018-04-11,77.8
2018-04-12,77.8
2018-04-13,77.9
2018-04-14,77.5
2018-04-15,78.5
2018-04-16,79.1
2018-04-17,78.4
2018-04-18,78.0
2018-04-20,76.7
2018-04-21,76.7
2018-04-22,78.4
2018-04-23,77.8
2018-04-24,76.9
2018-04-25,76.6
2018-04-26,78.1
2018-04-27,77.1
2018-04-28,76.8
2018-04-29,77.5
2018-04-30,79.2
2018-05-01,77.7
2018-05-02,77.3
2018-05-03,77.2
2018-05-04,77.0
2018-05-05,76.1
2018-05-06,76.7
2018-05-07,78.1
2018-05-08,77.9
2018-05-09,77.0
2018-05-10,76.7
2018-05-11,75.9
2018-05-12,76.1
2018-05-13,77.7
2018-05-14,77.3
2018-05-15,77.0
2018-05-16,76.8
2018-05-17,75.7
2018-05-18,75.7
2018-05-19,75.9
2018-05-20,76.2
2018-05-21,76.5
2018-05-22,75.7
2018-05-23,75.2
2018-05-24,76.2
2018-05-25,76.5
2018-05-26,76.1
2018-05-27,76.6
2018-05-28,76.8
2018-05-29,75.9
2018-05-30,75.5
2018-05-31,74.5
2018-06-01,74.8
2018-06-03,77.1
2018-06-04,76.7
2018-06-05,75.5
2018-06-06,76.5
2018-06-07,77.0
2018-06-08,76.1
2018-06-09,76.8
2018-06-10,76.0
2018-06-11,76.4
2018-06-12,76.4
2018-06-13,75.6
2018-06-14,75.8
2018-06-15,76.4
2018-06-16,76.1
2018-06-17,75.7
2018-06-18,76.8
2018-06-19,75.6
2018-06-20,75.7
2018-06-21,75.4
2018-06-22,74.9
2018-06-23,74.9
2018-06-25,76.8
2018-06-26,76.3
2018-06-27,75.0
2018-06-28,74.2
2018-06-29,74.4
2018-06-30,75.6
2018-07-01,77.4
2018-07-02,77.2
2018-07-03,76.1
2018-07-04,74.9
