Date,Meal,Kilojoules,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2017-12-31,Breakfast,372.8,1.9,0.5,0.3,0.8,0.0,15.8,152.8,35.7,14.9,0.7,0.5,3.0,1.3,0.0,2.9,5.3
2017-12-31,Lunch,4849.3,39.8,21.1,3.1,12.1,0.0,94.0,1678.0,848.0,112.2,6.1,13.3,15.8,24.0,78.0,12.0,21.0
2017-12-31,Dinner,4489.4,12.2,5.7,0.0,1.0,0.0,85.8,338.9,284.0,95.0,1.5,41.5,26.9,0.0,0.0,2.0,9.0
2018-01-01,Breakfast,2412.5,29.1,4.0,2.5,2.8,0.0,184.5,421.6,442.4,40.9,5.7,28.4,16.4,7.2,1.9,11.6,20.8
2018-01-01,Lunch,2451.8,0.0,0.0,0.0,0.0,0.0,5.0,120.0,0.0,15.0,0.0,14.0,10.0,10.0,0.0,35.0,0.0
2018-01-01,Dinner,6650.5,44.8,22.2,2.0,8.0,0.0,149.8,1465.4,886.1,106.0,4.0,21.9,38.2,16.0,36.0,12.5,30.4
2018-01-02,Breakfast,836.8,2.0,0.4,1.0,0.0,0.0,0.0,270.0,0.0,40.0,2.0,6.0,8.0,0.0,0.0,8.0,12.0
2018-01-02,Lunch,1100.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,Dinner,6564.7,40.3,4.5,1.2,3.2,0.2,183.3,2305.9,1117.3,172.5,4.0,28.4,52.6,55.5,38.3,8.4,28.8
2018-01-02,Snacks,2343.0,50.0,20.0,0.0,0.0,0.0,60.0,1320.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
2018-01-03,Breakfast,815.9,1.0,0.2,0.5,0.0,0.0,0.0,135.0,0.0,20.0,1.0,3.0,4.0,0.0,0.0,4.0,6.0
2018-01-03,Lunch,1121.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,Dinner,5956.3,30.1,10.6,0.0,0.0,0.0,154.8,480.1,624.7,94.6,2.8,47.5,57.0,8.0,9.7,21.6,27.4
2018-01-03,Snacks,135.1,0.3,0.1,0.2,0.1,0.0,0.0,161.6,525.2,6.0,3.2,2.7,1.4,18.1,10.4,8.1,2.2
2018-01-04,Breakfast,1824.6,30.6,17.7,4.0,6.8,0.0,204.5,594.2,299.9,26.2,1.0,4.2,18.4,7.2,0.0,18.9,12.8
2018-01-04,Lunch,2579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,Dinner,4565.1,17.7,3.9,0.1,0.0,0.0,92.4,261.2,179.1,101.2,3.3,47.6,39.9,40.0,26.7,5.8,13.3
2018-01-04,Snacks,294.5,3.4,0.7,0.2,1.9,0.0,0.0,598.0,656.5,8.7,4.0,3.4,1.7,22.7,13.0,10.1,2.8
2018-01-05,Breakfast,2388.6,40.6,10.9,4.9,13.4,0.0,231.8,1234.9,508.4,24.1,1.7,4.0,27.3,7.5,1.1,8.9,19.4
2018-01-05,Lunch,2230.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,Dinner,4146.3,57.6,9.9,25.0,0.0,0.5,75.0,1700.0,790.0,88.9,4.0,13.0,28.8,6.6,34.8,8.5,15.0
2018-01-05,Snacks,933.9,0.7,0.2,0.3,0.1,0.0,0.0,323.2,1050.4,12.0,6.5,5.4,2.8,36.3,20.9,16.2,4.5
2018-01-06,Breakfast,899.6,23.0,14.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-06,Lunch,6378.4,46.1,11.9,3.6,5.7,0.0,559.1,1362.8,1179.9,73.3,4.6,7.1,96.7,94.9,30.6,33.9,50.8
2018-01-06,Snacks,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,Breakfast,2135.1,27.2,14.0,3.0,5.7,0.0,398.9,460.4,139.8,31.8,0.0,14.4,35.5,26.5,0.0,60.7,9.7
2018-01-07,Lunch,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,Dinner,4981.5,40.0,9.6,3.6,5.6,0.6,36.0,1300.6,829.4,81.0,5.0,7.6,24.8,14.0,4.0,43.3,37.8
2018-01-07,Snacks,1797.0,0.2,0.0,0.1,0.0,0.0,0.0,141.8,942.6,40.0,6.6,25.4,2.7,121.1,30.2,6.0,5.1
2018-01-08,Breakfast,397.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,Lunch,402.9,0.2,0.2,0.0,0.0,0.0,0.0,95.0,0.0,10.1,1.0,10.1,7.0,22.0,0.0,30.0,0.0
2018-01-08,Dinner,1922.1,17.9,0.1,0.0,0.0,0.0,0.0,48.0,340.0,6.1,1.0,0.1,2.2,20.0,40.0,2.0,4.0
2018-01-08,Snacks,197.5,1.2,0.0,0.1,0.0,0.0,0.0,80.8,378.6,10.0,5.6,5.4,1.7,11.1,11.2,6.0,3.1
2018-01-09,Breakfast,1381.6,21.8,11.0,1.5,2.8,0.0,284.5,1775.2,69.9,4.4,0.0,4.2,28.3,7.2,0.0,2.9,4.8
2018-01-09,Lunch,1510.4,20.0,17.0,0.0,0.0,0.0,15.0,200.0,100.0,17.0,5.0,4.0,19.0,24.0,0.0,7.0,8.0
2018-01-09,Dinner,4606.5,40.1,0.2,0.2,0.3,0.0,110.6,700.0,110.0,129.4,1.2,0.2,41.4,0.0,0.0,4.0,22.0
2018-01-09,Snacks,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,Breakfast,400.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,Dinner,646.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,340.0,5.0,1.0,0.0,1.0,20.0,40.0,2.0,4.0
2018-01-10,Snacks,569.9,0.5,0.1,0.2,0.0,0.0,0.0,124.8,652.6,34.0,7.5,23.4,1.7,214.1,25.2,7.0,3.1
2018-01-11,Breakfast,1558.6,24.8,13.0,1.5,2.8,0.0,297.0,1846.0,99.9,4.9,0.2,4.5,30.9,9.5,3.0,3.2,4.8
2018-01-11,Lunch,2288.6,35.9,17.8,0.0,0.0,0.0,45.0,370.3,100.0,20.0,5.0,7.0,26.5,30.0,0.0,27.0,8.0
2018-01-11,Dinner,2807.5,11.2,3.0,1.7,4.8,0.2,39.4,1623.6,1108.8,23.3,5.5,15.5,14.5,81.7,18.4,8.8,18.7
2018-01-11,Snacks,1025.1,19.0,0.8,6.5,1.3,0.0,0.0,0.5,62.5,2.0,1.0,0.5,12.0,0.0,0.5,1.5,2.5
2018-01-12,Breakfast,1547.6,25.7,15.0,0.6,1.6,0.1,73.1,541.2,369.6,7.8,1.8,5.2,4.8,27.2,6.1,2.9,6.2
2018-01-12,Lunch,2380.7,7.9,0.8,0.0,0.0,0.0,0.0,0.3,0.0,3.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0
2018-01-12,Dinner,2515.8,36.0,15.5,0.0,0.0,0.0,0.0,10.8,170.0,27.5,3.4,5.1,16.3,10.0,20.0,1.0,2.0
2018-01-12,Snacks,1964.5,0.0,0.0,0.0,0.0,0.0,0.0,39.0,501.3,26.3,0.8,1.5,1.0,102.0,3.0,3.9,9.1
2018-01-13,Breakfast,2075.2,42.6,21.3,3.0,6.0,0.0,632.0,485.0,210.0,3.6,0.0,0.6,26.4,20.0,0.4,26.8,12.8
2018-01-13,Lunch,1715.4,16.0,6.0,0.0,0.0,0.0,45.0,1260.0,0.0,46.0,5.0,8.0,20.0,8.0,20.0,30.0,15.0
2018-01-13,Dinner,5414.1,23.4,3.3,0.0,0.0,100.0,260.0,908.0,0.0,138.9,5.0,30.0,57.0,0.0,0.0,0.0,0.0
2018-01-13,Snacks,562.4,12.6,1.0,9.1,1.8,0.0,0.0,0.7,87.5,2.8,1.4,0.7,2.8,0.0,0.7,2.1,3.5
2018-01-14,Breakfast,2027.1,32.9,10.0,1.5,2.8,0.0,214.5,99.6,349.3,0.8,1.0,0.4,7.9,7.2,1.4,3.4,7.8
2018-01-14,Lunch,2263.6,11.4,1.3,0.9,2.2,0.1,0.0,850.0,0.0,57.5,7.0,3.0,34.4,0.0,0.0,0.0,0.0
2018-01-14,Dinner,4825.1,15.7,4.8,0.7,3.5,0.0,15.0,17.7,292.4,81.8,2.5,40.3,6.9,5.0,6.0,11.1,3.5
2018-01-15,Breakfast,397.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-15,Dinner,3736.3,32.5,8.8,6.8,12.0,0.0,336.0,326.0,1395.0,26.0,4.5,6.0,123.5,214.9,10.8,6.3,28.1
2018-01-15,Snacks,117.2,0.0,0.0,0.0,0.0,0.0,0.0,56.0,239.0,6.5,1.8,3.3,0.6,205.0,6.0,2.0,1.0
2018-01-16,Breakfast,397.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,Dinner,1683.2,17.5,7.2,1.0,7.4,0.0,0.0,10.2,390.0,22.5,3.5,3.0,38.3,16.9,24.8,1.3,5.1
2018-01-16,Snacks,25.1,0.0,0.0,0.0,0.0,0.0,0.0,28.0,88.0,1.0,0.6,0.6,0.2,2.0,0.0,0.0,0.0
2018-01-17,Breakfast,795.8,17.8,9.0,1.5,2.8,0.0,214.5,95.2,69.9,0.4,0.0,0.2,6.3,7.2,0.0,2.9,4.8
2018-01-17,Lunch,3583.6,1.6,0.6,0.0,0.0,0.0,0.0,0.6,0.0,28.4,0.0,27.6,21.4,0.0,0.0,0.0,0.0
2018-01-17,Dinner,3498.7,45.6,23.8,1.5,9.9,0.0,88.0,260.8,756.1,67.0,3.5,60.6,9.1,265.9,67.1,30.6,19.5
2018-01-17,Snacks,25.1,0.0,0.0,0.0,0.0,0.0,0.0,28.0,88.0,1.0,0.6,0.6,0.2,2.0,0.0,0.0,0.0
2018-01-18,Breakfast,669.4,17.0,8.0,0.0,0.0,0.0,40.0,520.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0
2018-01-18,Lunch,2451.8,29.6,16.7,0.0,2.6,0.1,80.0,333.6,0.6,28.4,0.0,27.6,26.4,0.0,0.0,0.0,2.0
2018-01-18,Dinner,3186.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,Breakfast,1465.7,17.8,9.0,1.5,2.8,0.0,214.5,95.2,69.9,0.4,0.0,0.2,6.3,7.2,0.0,2.9,4.8
2018-01-19,Lunch,1077.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,Dinner,6192.3,34.0,12.0,0.0,0.0,0.0,150.0,300.0,0.0,232.0,12.0,52.0,84.0,16.0,0.0,16.0,0.0
2018-01-20,Breakfast,1822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,Lunch,3990.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-20,Dinner,6652.6,40.0,19.2,7.2,11.2,1.2,72.0,2560.0,736.0,201.0,10.0,45.2,48.0,28.0,8.0,80.0,56.0
2018-01-20,Snacks,704.6,3.6,0.8,0.0,0.0,0.0,0.0,131.0,4.5,23.7,1.0,10.1,10.0,22.0,0.0,30.0,0.0
2018-01-21,Breakfast,969.9,17.8,9.0,1.5,2.8,0.0,214.5,95.2,69.9,0.4,0.0,0.2,6.3,7.2,0.0,2.9,4.8
2018-01-21,Lunch,2757.2,32.1,22.3,2.1,3.7,0.0,44.0,883.0,286.0,51.0,6.6,8.1,32.3,30.0,0.0,24.0,21.0
2018-01-21,Dinner,2958.0,5.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,20.0,0.7
2018-01-22,Breakfast,400.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,Lunch,1510.4,20.0,17.0,0.0,0.0,0.0,15.0,200.0,100.0,17.0,5.0,4.0,19.0,24.0,0.0,7.0,8.0
2018-01-22,Dinner,4220.4,29.2,16.1,0.1,0.0,0.0,0.0,997.5,491.8,110.7,5.6,57.6,79.2,127.5,28.8,3.6,8.2
2018-01-22,Snacks,37.7,0.0,0.0,0.0,0.0,0.0,0.0,42.0,132.0,1.5,0.9,0.9,0.3,3.0,0.0,0.0,0.0
2018-01-23,Breakfast,1320.5,15.5,4.2,1.5,2.8,0.0,192.0,409.2,154.4,27.7,2.5,3.0,14.7,7.2,0.0,2.9,4.8
2018-01-23,Lunch,822.2,0.0,0.0,0.0,0.0,0.0,0.0,77.5,170.0,13.8,3.0,0.0,2.3,10.0,20.0,1.0,2.0
2018-01-23,Dinner,2739.2,11.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
